"customer_message","support_response"
"Do you support net banking?","Hi! We accept credit/debit cards, UPI, popular wallets, net banking, and Cash on Delivery (up to ₹50,000, ₹40 fee). Pick your preferred option at checkout. — Team NovaCart 💙"
"I can't log in to my account.","Hi! Let's get you back in:
1. Tap 'Forgot Password' on the login screen
2. Enter your registered email or phone
3. Follow the reset link/OTP we send
If the OTP doesn't arrive in a minute, request it again or reply here. — Team NovaCart 💙"
"I want to cancel order CK476417.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"My kitchen mixer arrived broken.","Hi! So sorry about the damaged bedsheet set. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I can't log in to my account.","Hi! No worries — tap 'Forgot Password', enter your registered email or mobile, and follow the reset link we send. Still stuck? I'm here to help. — Team NovaCart 💙"
"Refund status for order CK207175?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"How can I pay for my order?","Hi! You can pay via UPI, cards, net banking, wallets, or COD. All options appear at the payment step — choose whatever's easiest for you. — Team NovaCart 💙"
"Can I cancel my power bank before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Do you take credit cards?","Hi! You can pay via UPI, cards, net banking, wallets, or COD. All options appear at the payment step — choose whatever's easiest for you. — Team NovaCart 💙"
"Order status please for CK948749.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Do I have to pay for shipping on a ₹299 order?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"How long does delivery take?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"Can I exchange my sunglasses for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Order CK850800 came with a cracked item.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Do you have any offers?","Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
"Need to change where my kitchen mixer is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Hello","Hi! Thanks for reaching out to NovaCart. What can I help you with today? — Team NovaCart 💙"
"Can you help me?","Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
"Can I use COD for my kitchen mixer order?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"The product I got is not working.","Hi! So sorry about the damaged saree. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Can I cancel my headphones before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"How many days do I have to return something?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Order status please for CK571029.","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"Can I exchange my wall clock for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
